Godzina;Mecz;Liga;Kurs [Faworyt];% Wygranej Gospodarza [1];% Wygranej Goscia [2];% Remisu [X];Typ_Modelu;Wynik_Rzeczywisty;Gole;Status;Zysk/Strata (Flat 100)
05 kwi;FK Radnik Surdulica vs Crvena Zvezda Belgrad;Serbia 1;1.27 (2);20.0;70.0;10.0;2;2;1:2;WYGRANA;27.0
05 kwi;Vasco da Gama vs Botafogo RJ;Brazil 1;1.95 (1);70.0;10.0;20.0;1;2;1:2;PRZEGRANA;-100.0
05 kwi;Lugo vs Osasuna B;Spain 3;1.66 (1);65.0;5.0;30.0;1;2;0:1;PRZEGRANA;-100.0
05 kwi;Al Quwa Al Jawiya vs Al Naft;Iraq 1;1.53 (1);65.0;25.0;10.0;1;X;0:0;PRZEGRANA;-100.0
05 kwi;Frosinone vs Calcio Padova;Italy 2;1.48 (1);65.0;15.0;20.0;1;1;2:0;WYGRANA;48.0
05 kwi;Las Palmas vs Huesca;Spain 2;1.48 (1);65.0;10.0;25.0;1;1;2:1;WYGRANA;48.0
05 kwi;St. Pauls United vs Dieppe Bay Eagles;St. Kitts and Nevis 1;1.33 (1);65.0;15.0;20.0;1;Brak/Odwolany;-;Odwolany;0.0
05 kwi;FC Banants vs Gandzasar;Armenia 1;1.53 (1);65.0;20.0;15.0;1;1;4:2;WYGRANA;53.0
05 kwi;Djoliba vs Stade Malien Bamako;Mali 1;1.9 (1);60.0;35.0;5.0;1;X;0:0;PRZEGRANA;-100.0
05 kwi;APR vs Muhanga;Rwanda 1;1.36 (1);60.0;0.0;40.0;1;1;1:0;WYGRANA;36.0
05 kwi;Bekescsaba vs Aqvital FC Csakvar;Hungary 2;3.0 (2);60.0;25.0;15.0;1;X;2:2;PRZEGRANA;-100.0
05 kwi;Cruz Azul vs Pachuca;Mexico 1;1.9 (1);60.0;25.0;15.0;1;2;1:2;PRZEGRANA;-100.0
05 kwi;SC Paderborn 07 II vs Oberhausen;Germany 4;2.05 (2);25.0;60.0;15.0;2;1;3:0;PRZEGRANA;-100.0
05 kwi;Amed SK vs Boluspor;Turkey 2;1.33 (1);55.0;20.0;25.0;1;1;6:1;WYGRANA;33.0
05 kwi;Zemun vs Priboj;Serbia 2;1.57 (1);55.0;20.0;25.0;1;1;2:1;WYGRANA;57.0
05 kwi;Real Saragossa vs Mirandes;Spain 2;1.83 (1);55.0;20.0;25.0;1;2;1:2;PRZEGRANA;-100.0
05 kwi;PWD Bamenda vs Aigle Royal de Moungo;Cameroon 1;1.55 (1);55.0;10.0;35.0;1;1;4:1;WYGRANA;55.0
05 kwi;Remo Stars vs Shooting Stars;Nigeria 1;1.57 (1);55.0;10.0;35.0;1;1;1:0;WYGRANA;57.0
05 kwi;Real Murcia vs Atlético Madrid II;Spain 3;3.4 (2);50.0;30.0;20.0;1;1;2:1;WYGRANA;0.0
05 kwi;KACM vs FAR Rabat;Morocco 1;1.61 (2);35.0;50.0;15.0;2;X;0:0;PRZEGRANA;-100.0
05 kwi;Al Minaa vs Naft Misan;Iraq 1;1.9 (1);50.0;15.0;35.0;1;2;0:1;PRZEGRANA;-100.0
06 kwi;Central Cordoba de Santiago vs Newells Old Boys;Argentina 1;2.45 (1);50.0;25.0;25.0;1;Brak/Odwolany;-;Odwolany;0.0
05 kwi;Eintracht Frankfurt vs FC Köln;Germany 1;2.0 (1);50.0;20.0;30.0;1;X;2:2;PRZEGRANA;-100.0
05 kwi;Hradec Kralove vs Bohemians 1905;Czech Republic 1;1.9 (1);45.0;35.0;20.0;1;1;2:0;WYGRANA;90.0
05 kwi;Platense FC vs CD Marathon;Honduras 1;1.8 (2);15.0;45.0;40.0;2;Brak/Odwolany;-;Odwolany;0.0
05 kwi;Mictlán vs CSD Comunicaciones;Guatemala 1;2.2 (1);45.0;25.0;30.0;1;Brak/Odwolany;-;Odwolany;0.0
05 kwi;Panthere FC vs Aigle Royal;Cameroon 1;2.0 (1);45.0;20.0;35.0;1;1;2:1;WYGRANA;100.0
05 kwi;Sumqayit vs FK Neftczi;Azerbaijan 1;1.72 (2);30.0;45.0;25.0;2;2;1:3;WYGRANA;72.0
06 kwi;Jaiba Brava vs Venados FC;Mexico 2;1.61 (1);45.0;15.0;40.0;1;Brak/Odwolany;-;Odwolany;0.0
05 kwi;Madura United vs Pusamania Borneo;Indonesia 1;1.75 (2);20.0;45.0;35.0;2;2;1:3;WYGRANA;75.0
05 kwi;Kallon vs Bo Rangers;Sierra Leone 1;2.75 (2);45.0;20.0;35.0;1;2;0:3;PRZEGRANA;-100.0
05 kwi;AS Monaco vs Olympique Marsylia;France 1;2.1 (1);45.0;40.0;15.0;1;1;2:1;WYGRANA;110.0
05 kwi;Gorilla vs Musanze;Rwanda 1;2.8 (2);40.0;35.0;25.0;1;1;2:1;WYGRANA;0.0
05 kwi;Algeciras vs UD Ibiza;Spain 3;2.35 (1);35.0;40.0;25.0;2;X;0:0;PRZEGRANA;-100.0
05 kwi;Inter Mediolan vs AS Roma;European Championship U-21 1;1.66 (1);40.0;15.0;45.0;X;1;5:2;PRZEGRANA;-100.0
05 kwi;Hertha Berlin II vs Magdeburg II;Germany 4;2.25 (2);35.0;40.0;25.0;2;1;2:1;PRZEGRANA;-100.0
05 kwi;Cremonese vs Bologna;European Championship U-21 1;2.2 (2);30.0;40.0;30.0;2;2;1:2;WYGRANA;120.00000000000003
05 kwi;Soroksar SC vs BVSC;Hungary 2;2.45 (2);35.0;35.0;30.0;1;1;2:1;WYGRANA;0.0
05 kwi;FC Kapaz vs FK Gabala;Azerbaijan 1;2.4 (1);35.0;20.0;45.0;X;2;0:2;PRZEGRANA;-100.0
05 kwi;Sportivo Ameliano vs Luqueno;Paraguay 1;2.2 (1);25.0;30.0;45.0;X;Brak/Odwolany;-;Odwolany;0.0
05 kwi;Warri Wolves FC vs Rivers United FC;Nigeria 1;2.25 (1);30.0;15.0;55.0;X;1;2:0;PRZEGRANA;-100.0
05 kwi;Jedinstvo Ub vs Dubocica;Serbia 2;2.05 (1);30.0;25.0;45.0;X;1;4:0;PRZEGRANA;-100.0
